id,hotel_id,overall_rating,value_rating,rooms_rating,location_rating,cleanliness_rating,service_rating,sleep_quality_rating,pic_num,tourism,mobile,review_date,helpful_count,owner_replied
6504858,199068,2,2,2,4,4,4,,0,family,N,26/12/2006,1,N
6571097,199068,1,,,,,,,0,,N,09/01/2007,4,N
11275390,199068,5,5,3,5,4,5,,3,family,N,05/12/2007,6,N
11381676,199068,5,5,3,5,5,5,,0,family,N,09/12/2007,12,N
11915635,199068,5,5,4,5,5,5,,8,family,N,23/12/2007,9,N
12570327,199068,4,4,3,5,4,4,,0,family,N,13/01/2008,5,N
14010263,199068,4,4,4,5,2,1,,0,family,N,03/03/2008,2,N
22520286,199068,2,1,3,1,3,1,,0,family,N,07/12/2008,5,N
22669485,199068,4,3,3,5,3,4,,3,family,N,12/12/2008,1,N
22777712,199068,5,5,3,5,5,5,,0,family,N,16/12/2008,2,N
22986394,199068,4,,,,,,,0,family,N,24/12/2008,1,N
23056472,199068,4,4,4,4,4,4,,0,family,N,28/12/2008,2,N
23304570,199068,5,4,3,5,5,4,,0,family,N,05/01/2009,2,N
23730123,199068,4,4,4,5,4,5,,0,family,N,20/01/2009,2,N
23798074,199068,2,2,2,4,4,4,,0,family,N,22/01/2009,4,N
26858282,199068,2,2,2,2,3,3,,0,family,N,26/03/2009,3,N
32060552,199068,2,1,1,3,2,1,,0,family,N,10/06/2009,2,N
51011452,199068,4,4,5,5,5,5,,0,family,N,10/12/2009,2,N
51094076,199068,4,4,4,5,4,5,,0,family,N,11/12/2009,2,N
51149733,199068,4,5,4,5,5,5,,3,family,N,13/12/2009,4,N
51241183,199068,3,4,3,3,4,3,,0,family,N,14/12/2009,2,N
51532032,199068,5,3,3,5,5,3,,6,family,N,19/12/2009,1,N
51540770,199068,5,5,3,5,4,5,,0,family,N,19/12/2009,2,N
51592258,199068,4,3,3,4,4,3,,0,family,N,21/12/2009,1,N
51730311,199068,5,5,3,5,4,5,,0,family,N,23/12/2009,1,N
51735183,199068,5,4,3,5,3,5,,2,family,N,23/12/2009,1,N
51850397,199068,4,5,5,4,5,5,,0,,N,25/12/2009,1,N
51963961,199068,4,4,4,5,4,5,,0,family,N,27/12/2009,2,N
52171572,199068,4,4,4,4,5,4,,0,family,N,30/12/2009,1,N
52174250,199068,4,5,4,5,4,4,,0,couple,N,30/12/2009,1,N
52251792,199068,4,4,4,5,5,5,,0,family,N,31/12/2009,3,N
52771173,199068,5,5,5,5,5,5,,0,,N,06/01/2010,5,N
