ID ,helpful_count,tourism,overall_rating,value_rating,rooms_rating,location_rating,cleanliness_rating,service_rating,owner_replied,city
1,8,BUSINESS,5,4,3,5,3,3,Y,Helsinki_Uusimaa
2,2,SOLO,2,2,2,5,1,2,Y,Helsinki_Uusimaa
3,1,COUPLES,2,2,4,5,1,4,Y,Helsinki_Uusimaa
4,0,BUSINESS,3,2,1,5,3,1,Y,Helsinki_Uusimaa
5,2,BUSINESS,1,1,1,4,3,2,Y,Helsinki_Uusimaa
6,1,SOLO,3,3,3,4,4,2,Y,Helsinki_Uusimaa
7,1,FAMILY,4,3,3,4,5,5,Y,Helsinki_Uusimaa
8,1,COUPLES,5,5,5,3,5,5,Y,Rantasalmi_Southern_Savonia
9,6,SOLO,3,3,3,5,3,2,Y,Kouvola_Kymenlaakso
10,0,COUPLES,3,3,3,3,4,3,Y,Helsinki_Uusimaa
11,1,BUSINESS,3,3,3,5,4,4,Y,Helsinki_Uusimaa
12,1,COUPLES,2,1,1,5,3,2,Y,Helsinki_Uusimaa
13,0,BUSINESS,4,3,4,5,4,4,Y,Helsinki_Uusimaa
14,2,COUPLES,5,5,5,5,4,5,Y,Helsinki_Uusimaa
15,0,COUPLES,4,3,4,4,5,4,Y,Vantaa_Uusimaa
16,0,SOLO,4,4,3,4,5,5,Y,Helsinki_Uusimaa
17,1,COUPLES,3,4,3,4,3,4,Y,Helsinki_Uusimaa
18,0,BUSINESS,4,2,4,5,5,2,Y,Vantaa_Uusimaa
19,1,BUSINESS,2,2,1,5,2,1,Y,Helsinki_Uusimaa
20,0,SOLO,4,4,3,3,3,3,Y,Helsinki_Uusimaa
21,0,BUSINESS,5,5,3,5,4,5,Y,Helsinki_Uusimaa
22,0,COUPLES,3,4,3,3,3,4,Y,Helsinki_Uusimaa
23,0,SOLO,3,4,3,4,4,3,Y,Helsinki_Uusimaa
24,0,BUSINESS,2,3,2,3,4,1,Y,Vantaa_Uusimaa
25,0,BUSINESS,3,3,3,5,5,4,Y,Vantaa_Uusimaa
26,0,FAMILY,3,3,3,4,4,4,Y,Helsinki_Uusimaa
27,0,COUPLES,4,4,3,4,5,5,Y,Vantaa_Uusimaa
28,0,SOLO,4,3,3,3,4,3,Y,Helsinki_Uusimaa
29,0,BUSINESS,2,2,2,5,2,3,Y,Helsinki_Uusimaa
30,1,COUPLES,3,2,3,5,5,1,Y,Helsinki_Uusimaa
31,0,FRIENDS,4,4,3,4,4,5,Y,Helsinki_Uusimaa
32,1,SOLO,4,4,3,5,4,5,Y,Helsinki_Uusimaa
33,1,BUSINESS,4,4,3,4,5,4,Y,Helsinki_Uusimaa
34,0,COUPLES,3,3,3,5,4,3,Y,Helsinki_Uusimaa
35,0,SOLO,5,5,5,4,5,4,Y,Tampere_Pirkanmaa
36,0,COUPLES,4,4,5,5,5,4,Y,Helsinki_Uusimaa
37,0,COUPLES,3,3,3,4,2,3,Y,Helsinki_Uusimaa
38,2,COUPLES,1,1,1,2,3,1,Y,Helsinki_Uusimaa
39,0,COUPLES,4,4,4,4,4,4,Y,Turku_Southwest_Finland
40,0,FAMILY,3,2,3,4,4,3,Y,Karesuvanto_Lapland
41,19,FAMILY,1,1,1,3,1,1,Y,Karesuvanto_Lapland
42,1,COUPLES,1,1,1,2,1,1,Y,Tampere_Pirkanmaa
43,0,FAMILY,4,4,5,4,3,4,Y,Turku_Southwest_Finland
44,1,BUSINESS,4,3,4,5,4,4,Y,Helsinki_Uusimaa
45,0,COUPLES,4,4,4,3,5,4,Y,Helsinki_Uusimaa
46,1,BUSINESS,4,5,3,5,5,5,Y,Helsinki_Uusimaa
47,1,SOLO,3,3,3,4,3,3,Y,Helsinki_Uusimaa
48,0,COUPLES,3,4,3,5,2,2,Y,Vantaa_Uusimaa
49,1,COUPLES,2,2,2,5,5,3,Y,Helsinki_Uusimaa
50,0,BUSINESS,1,1,4,5,4,1,Y,Vantaa_Uusimaa
51,0,BUSINESS,5,4,5,4,5,4,Y,Helsinki_Uusimaa
52,0,COUPLES,4,5,5,4,5,4,Y,Vantaa_Uusimaa
53,0,FAMILY,5,4,5,4,5,5,Y,Vantaa_Uusimaa
54,0,BUSINESS,2,2,2,3,3,2,Y,Helsinki_Uusimaa
55,0,BUSINESS,5,4,5,5,5,5,Y,Vantaa_Uusimaa
56,0,COUPLES,3,2,5,5,5,5,Y,Vantaa_Uusimaa
57,1,BUSINESS,5,5,4,5,5,5,Y,Helsinki_Uusimaa
58,0,BUSINESS,4,4,4,4,5,5,Y,Helsinki_Uusimaa
59,0,COUPLES,5,5,5,4,5,5,Y,Helsinki_Uusimaa
60,0,COUPLES,5,5,5,5,5,5,Y,Hameenkoski_Tavastia_Proper
61,1,COUPLES,3,5,3,5,2,4,Y,Helsinki_Uusimaa
62,0,BUSINESS,5,4,4,4,5,5,Y,Helsinki_Uusimaa
63,0,COUPLES,5,5,5,5,5,4,Y,Vantaa_Uusimaa
64,0,BUSINESS,4,4,4,5,5,4,Y,Vantaa_Uusimaa
65,1,COUPLES,4,4,5,5,5,4,Y,Helsinki_Uusimaa
66,0,SOLO,5,5,4,5,5,5,Y,Helsinki_Uusimaa
67,0,FAMILY,3,4,3,4,3,5,Y,Turku_Southwest_Finland
68,0,COUPLES,4,4,5,5,5,4,Y,Vantaa_Uusimaa
69,0,BUSINESS,4,3,4,5,4,4,Y,Helsinki_Uusimaa
70,1,FRIENDS,4,4,4,5,4,4,Y,Helsinki_Uusimaa
71,1,BUSINESS,4,4,4,5,5,4,Y,Vantaa_Uusimaa
